waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=1.8e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=1.8e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=1.35e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=1.35e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=2.7e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=2.7e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=2.25e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=2.25e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=3.6e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=3.6e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=3.15e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=3.15e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=4.5e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=4.5e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=4.5e-08) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=4.5e-08) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=4.05e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=4.05e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=4.95e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=4.95e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=5.4e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=5.4e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=5.85e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=5.85e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=6.3e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=6.3e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=6.75e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=6.75e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=7.2e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=7.2e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=9e-08) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=9e-08) Y
14.17221611241142,9582015319.18119,15.0428442370671,12783066293.85901,12.98156187437931,5862546693.459252,13.49750485774803,7389087940.713739,12.26426125084607,3957562777.698703,12.58122338733055,4767403433.89112,11.79756908069034,2863500865.030784,16.11424372994582,19186672617.66446,12.00822512953392,3342212407.5811,11.62140042045587,2483459088.180585,11.45719079584404,2167791223.430933,11.31145999403906,1908236140.123068,11.18229930378641,1692920904.751384,11.06687895297657,1512298206.891149,10.96299491342965,1359269466.386921,16.05361308554822,16873006754.38025
11.52787410980344,13923928391.35416,12.42323176759122,19519549628.25387,10.48571458489635,8089558086.80058,10.91802726774463,10407482322.3669,9.923877362093044,5330745866.836584,10.16694143579875,6486317166.248732,9.58023863812506,3807760457.178039,14.79444168001593,34360216067.83625,9.733270406450007,4468918474.159658,9.454906038423397,3288469996.282218,9.332793464969356,2856905782.850411,9.224150697038935,2504168762.172073,9.128162962085716,2213350708.989797,9.042584160234846,1970690257.077581,8.965689351788763,1766063303.40386,13.7802151070443,27946905175.62181
9.285053446591057,18087265966.91143,10.03074191986304,26295964525.44846,8.498442438558778,10179995402.67562,8.815576817362251,13252387262.35738,8.105278737693459,6627678087.990416,8.272638786245995,8102663205.38334,7.876696918816521,4709786358.613533,13.31858293331698,57395051931.32732,7.977232506841964,5538934286.652574,7.796043661482956,4061990788.005765,7.710235376428821,3520051350.866461,7.632971395670057,3078116154.413575,7.564589281242391,2714924715.977322,7.503502188733346,2412721995.171287,7.448499046091827,2158514986.774615,11.36773770752978,40625363799.29025
7.522974227477878,21674443534.63866,8.068831693193514,32158036135.73518,6.976934190485286,12017363997.57537,7.192630012761541,15723604645.38047,6.720111376993317,7794252291.986531,6.827741576963521,9540469788.394911,6.578470435680772,5536483017.237112,11.48524777889032,86261057293.56807,6.639884345967251,6511028656.973585,6.53039105412961,4776366033.648737,6.471087707522617,4133936461.056638,6.416554263176064,3610110474.232116,6.367997917800428,3180244495.330893,6.324373228393217,2823034706.352951,6.284882852502075,2522921328.072543,9.156979349749205,52365641887.68533
6.174236854732638,24563006759.16492,6.556168550994159,36809442517.63754,5.811575403163772,13554828157.79904,5.95242085624873,17755767132.68575,5.649746368331995,8794044422.64558,5.716646422867734,10760114311.52237,5.565621524913404,6255530597.187902,9.50542195169835,115058824594.6229,5.602733152857842,7352585365.405302,5.536607643474872,5399244041.088853,5.493590478716773,4668167654.983211,5.453016608057314,4071809192.327591,5.41650682297433,3582862374.469423,5.3834045777573,3176933441.505728,5.353202798156042,2836207575.176783,7.359987357038155,61755967158.84418
5.143478605547754,26777424399.95317,5.403460723569482,40262737194.56332,4.902506469475056,14765834920.51741,4.995490466684949,19342218635.22413,4.793739325012603,9577563445.174397,4.839492312690912,11721723822.87302,4.728687048225806,6798796065.612081,7.707267932732932,138626259672.0119,4.758182752650717,7999921226.79192,4.702776679920019,5859060195.196256,4.665637464055023,5054878664.207977,4.632291398710207,4401504124.695738,4.600487752249242,3865429245.501336,4.57156809753126,3421278354.16636,4.545155246510684,3049209681.666251,5.973004829923125,68538210185.82143
4.335977314429457,28315111686.14656,4.516011197614333,42629139707.57357,4.161560812611897,15572152974.64764,4.231397380627482,20432445498.36198,4.065146542786503,10039940126.88428,4.108934124778637,12330012003.86012,3.989894089052167,7065301668.619407,6.230561686012301,154957677635.9745,4.026108227681682,8351585794.434515,3.955675964226101,6059750810.948949,3.919201795509902,5210198781.515525,3.886333875633835,4522348394.201189,3.85707973561004,3961800049.55182,3.830891205920631,3499033078.851598,3.807316189922764,3112598878.626703,4.91745956035498,73041640758.55042
3.681342457540364,29135534923.432,3.816417720450636,43986855354.6076,3.527657084465992,15866155309.24262,3.594225931789822,20934995333.35934,3.421585670687285,10100251079.0516,3.471411403649499,12483730228.83421,3.335902130030049,7026942640.92629,5.080115665117827,164780431597.9956,3.376649198996744,8351263245.355376,3.29890397848289,5998594063.710238,3.266777391978423,5143804221.970084,3.239045455382194,4455519772.815025,3.214805129873115,3896520354.728446,3.19342862844252,3436325346.888483,3.174426258503728,3052940793.779571,4.107223217106823,75675941318.78867
3.130850412167122,29172651622.91542,3.247487267863381,44350252880.05057,2.977902475446851,15633528345.55983,3.046194866715573,20791341419.58192,2.87155416773249,9830265437.511366,2.920546553400615,12217319805.63037,2.792503510017646,6785973052.147642,4.198685341767919,169678290804.83,2.829281456213934,8092611874.378403,2.760259414613659,5777183469.75655,2.734650803658307,4946095067.911983,2.712993871660908,4278880695.750458,2.694225455481344,3738013511.831442,2.677788731852743,3293442918.968415,2.663260607712163,2923568180.295417,3.472785324375469,76755624019.30212
2.66049073237569,28460466412.43507,2.770914136376157,43721202548.38959,2.515151461654345,15020803153.90188,2.578866858340414,20107091129.34666,2.421640257946398,9368190358.728222,2.463866057442615,11683257574.06688,2.356061014031731,6437378955.378505,3.520759487573372,171083212501.0166,2.386226159974007,7692282082.790533,2.330026545591472,5471677213.362693,2.310043448926757,4679048539.403131,2.293284192762045,4043807982.815396,2.278813260401792,3529540838.952487,2.266178489807099,3107324892.151879,2.25503945597921,2756411913.848135,2.963248060429089,76474672955.33269
